species_name,family,bark_texture,physiognomy,total_individuals,infected_individuals,noninfected_individuals,abundance_ratio,prevalence,habit
"Acacia auriculiformis","Fabaceae","rough","evergreen","58","21","37","0.07","0.36","Tree"
"Acacia chundra","Fabaceae","rough","deciduous","25","11","14","0.03","0.44","Tree"
"Acacia holosericea","Fabaceae","lenticellate","evergreen","89","27","62","0.11","0.30","Tree"
"Acacia mangium","Fabaceae","fissured","evergreen","56","7","49","0.07","0.12","Tree"
"Adenanthera pavonina","Fabaceae","rough","evergreen","10","0","10","0.01","0.00","Tree"
"Aegle marmelos","Rutaceae","rough","deciduous","1","0","1","0.00","0.00","Tree"
"Albizia amara","Fabaceae","rough","deciduous","2","0","2","0.00","0.00","Tree"
"Albizia lebbeck","Fabaceae","rough","deciduous","16","6","10","0.02","0.38","Tree"
"Atalantia monophylla","Rutaceae","smooth","evergreen","2","0","2","0.00","0.00","Tree"
"Azadirachta indica","Meliaceae","rough","deciduous","20","0","20","0.02","0.00","Tree"
"Barringtonia acutangala","Lecythidaceae","rough","deciduous","3","1","29","0.00","0.33","Tree"
"Bauhinia racemosa","Fabaceae","rough","deciduous","10","0","10","0.01","0.00","Tree"
"Benkara malabarica","Rubiaceae","lenticellate","deciduous","5","0","5","0.01","0.00","Tree"
"Borassus flabellifer","Arecaceae","rough","evergreen","2","0","2","0.00","0.00","Tree"
"Bridelia retusa","Phyllanthaceae","rough","deciduous","52","16","36","0.06","0.31","Tree"
"Butea monosperma","Fabaceae","rough","deciduous","9","0","9","0.01","0.00","Tree"
"Canthium coromandelicum","Rubiaceae","rough","deciduous","4","0","4","0.00","0.00","Shrub"
"Carissa spinarum","Apocynaceae","rough","evergreen","1","0","1","0.00","0.00","Liana"
"Carmona retusa","Boraginaceae","rough","evergreen","4","0","4","0.00","0.00","Shrub"
"Cassia fistula","Fabaceae","smooth","deciduous","9","0","9","0.01","0.00","Tree"
"Cassia siamea","Fabaceae","smooth","evergreen","1","1","0","0.00","1.00","Tree"
"Casuarina equisetifolia","Casuarinaceae","rough","evergreen","13","5","8","0.02","0.38","Tree"
"Chloroxylon swietenia","Rutaceae","fissured","deciduous","2","0","2","0.00","0.00","Tree"
"Cleistanthus collinus","Phyllanthaceae","rough","deciduous","4","0","4","0.00","0.00","Tree"
"Cochlospermum religiosa","Bixaceae","smooth","deciduous","10","0","10","0.01","0.00","Tree"
"Diospyros montana","Ebenaceae","flaky","deciduous","4","0","4","0.00","0.00","Tree"
"Dodonaea angustifolia","Sapindaceae","fissured","deciduous","74","3","71","0.09","0.04","Shrub"
"Dolichandrone falcata","Bignoniaceae","warty","deciduous","12","0","12","0.01","0.00","Tree"
"Erythroxylum monogynum","Erythroxylaceae","fissured","evergreen","3","0","3","0.00","0.00","Tree"
"Ficus benghalensis","Moraceae","smooth","deciduous","5","2","3","0.01","0.40","Tree"
"Ficus religiosa","Moraceae","smooth","deciduous","1","0","1","0.00","0.00","Tree"
"Flacourtia indica","Salicaceae","flaky","deciduous","7","0","7","0.01","0.00","Tree"
"Gliricidia sepium","Fabaceae","wrinkled","deciduous","5","0","5","0.01","0.00","Shrub"
"Gmelina arborea","Lamiaceae","rough","deciduous","2","0","2","0.00","0.00","Shrub"
"Guazuma ulmifolia","Malvaceae","fissured","deciduous","5","0","5","0.01","0.00","Tree"
"Hardwickia binata","Fabaceae","fissured","deciduous","23","6","17","0.03","0.26","Tree"
"Helicteres isora","Malvaceae","rough","deciduous","1","0","1","0.00","0.00","Tree"
"Ixora pavetta","Rubiaceae","fissured","evergreen","5","0","5","0.01","0.00","Tree"
"Khaya senegalensis","Meliaceae","flaky","deciduous","3","2","1","0.00","0.67","Tree"
"Livistona chinensis","Arecaceae","rough","evergreen","1","0","1","0.00","0.00","Tree"
"Madhuca longifolia","Sapotaceae","fissured","deciduous","11","0","11","0.01","0.00","Tree"
"Mangifera indica","Anacardiaceae","fissured","evergreen","2","0","2","0.00","0.00","Tree"
"Manilkara hexandra","Sapotaceae","fissured","evergreen","31","0","31","0.04","0.00","Tree"
"Memecylon umbellatum","Melastomataceae","fissured","evergreen","36","1","35","0.04","0.03","Tree"
"Mimusops elengi","Sapotaceae","fissured","evergreen","2","0","2","0.00","0.00","Tree"
"Morinda coreia","Rubiaceae","fissured","deciduous","49","2","47","0.06","0.04","Tree"
"Peltophorum pterocarpum","Fabaceae","fissured","deciduous","1","1","0","0.00","1.00","Tree"
"Pongamia pinnata","Fabaceae","fissured","deciduous","1","0","1","0.00","0.00","Tree"
"Pterocarpus marsupium","Fabaceae","flaky","deciduous","2","0","2","0.00","0.00","Tree"
"Pterocarpus santalinus","Fabaceae","clefted","deciduous","61","3","58","0.07","0.05","Tree"
"Pterospermum canescens","Fabaceae","smooth","deciduous","3","0","3","0.00","0.00","Tree"
"Randia sp","Rubiaceae",,"deciduous","1","0","1","0.00","0.00","Tree"
"Syzgium cumini","Myrtaceae","flaky","deciduous","17","0","17","0.02","0.00","Tree"
"Tectona grandis","Lamiaceae","flaky","deciduous","10","1","9","0.01","0.10","Tree"
"Terminalia arjuna","Combretaceae","flaky","deciduous","11","1","10","0.01","0.09","Tree"
"Terminalia bellerica","Combretaceae","fissured","deciduous","5","0","5","0.01","0.00","Tree"
"Terminalia catappa","Combretaceae","fissured","deciduous","7","0","7","0.01","0.00","Tree"
"Walsura trifoliata","Meliaceae","fissured","evergreen","14","0","14","0.02","0.00","Tree"
"Ziziphus oenoplia","Rhamnaceae","lenticellate","deciduous","10","1","9","0.01","0.10","Liana"
