site_info.site_name_key,site_info.plot_name_key,trees_count,trees_infected,trees_not_infected,site_info.site_type,site_info.site_stature,site_info.site_soil
"aranya","plot1","36","5","31","2","2","1"
"aranya","plot2","45","5","40","2","2","1"
"aranya","plot3","47","3","44","2","2","1"
"aranya","plot4","52","5","47","2","2","1"
"aranya","plot5","57","6","51","2","2","1"
"aranya","plot6","55","16","39","2","2","1"
"aranya","plot7","64","5","59","2","2","1"
"aranya","plot8","46","5","41","2","2","1"
"aranya","plot9","60","12","48","2","2","1"
"aranya","plot10","53","8","45","2","2","1"
"aranya","plot11","56","14","42","2","2","1"
"aranya","plot12","50","5","45","2","2","1"
"aranya","plot13","78","11","67","2","2","1"
"aranya","plot14","74","12","62","2","2","1"
"aranya","plot15","60","6","54","2","2","1"
